all_trips_v2$member_casual,all_trips_v2$end_station_name,all_trips_v2$ride_id
casual,Halsted St & 78th St,75
member,Halsted St & 78th St,12
casual,Halsted St & 96th St,84
member,Halsted St & 96th St,51
casual,Halsted St & Archer Ave,716
member,Halsted St & Archer Ave,1143
casual,Halsted St & Clybourn Ave,6972
member,Halsted St & Clybourn Ave,12084
casual,Halsted St & Dickens Ave,7424
member,Halsted St & Dickens Ave,10207
casual,Halsted St & Maxwell St,2951
member,Halsted St & Maxwell St,5744
casual,Halsted St & North Branch St,741
member,Halsted St & North Branch St,1406
casual,Halsted St & Polk St,1994
member,Halsted St & Polk St,9237
casual,Halsted St & Roosevelt Rd,1181
member,Halsted St & Roosevelt Rd,4307
casual,Halsted St & Roscoe St,10160
member,Halsted St & Roscoe St,12040
casual,Halsted St & Willow St,4163
member,Halsted St & Willow St,7759
casual,Halsted St & Wrightwood Ave,7924
member,Halsted St & Wrightwood Ave,11542
casual,Hamilton Ave & 95th St,1
casual,Hamlin Ave & 62nd Pl,21
member,Hamlin Ave & 62nd Pl,6
casual,Hamlin Ave & Chicago Ave,1
member,Hamlin Ave & Chicago Ave,3
casual,Hamlin Ave & Fullerton Ave,11
member,Hamlin Ave & Fullerton Ave,15
casual,Hamlin Ave & Grand Ave,7
member,Hamlin Ave & Grand Ave,1
casual,Hamlin Ave & Montrose Ave,3
member,Hamlin Ave & Montrose Ave,11
casual,Hampden Ct & Diversey Ave,378
member,Hampden Ct & Diversey Ave,741
casual,Harding Ave & 26th St,12
member,Harding Ave & 26th St,14
casual,Harding Ave & 47th St,1
casual,Harlem & Irving Park,75
member,Harlem & Irving Park,25
casual,Harlem Ave & Grace St,16
member,Harlem Ave & Grace St,8
casual,Harold Washington Park,4
casual,Harper Ave & 59th St,1058
member,Harper Ave & 59th St,3311
member,Harriet E Sayre Public School,1
member,Harvey Ave & North Ave,2
member,Hastings WH 2,2
casual,Hegewisch Metra Station,49
member,Hegewisch Metra Station,13
casual,Hermitage Ave & Polk St,295
member,Hermitage Ave & Polk St,2122
member,Hiawatha Park,1
casual,Homan Ave & 65th St,27
member,Homan Ave & 65th St,5
casual,Homan Ave & Fillmore St,21
member,Homan Ave & Fillmore St,8
casual,Homewood Ave & 115th St,91
member,Homewood Ave & 115th St,22
casual,Homewood Ave & Monterey Ave,3
casual,Honore St & 87th St - SE,1
casual,Honore St & Division St,5351
member,Honore St & Division St,5672
casual,Houston Ave & 92nd St,112
member,Houston Ave & 92nd St,38
member,Hoyne Ave & 110th Pl,2
casual,Hoyne Ave & 34th St,15
member,Hoyne Ave & 34th St,8
casual,Hoyne Ave & 47th St,159
member,Hoyne Ave & 47th St,119
casual,Hoyne Ave & Balmoral Ave,892
member,Hoyne Ave & Balmoral Ave,1352
casual,Humboldt Blvd & Armitage Ave,2939
member,Humboldt Blvd & Armitage Ave,2338
casual,Hyde Park Blvd & 53rd St,9
member,Hyde Park Blvd & 53rd St,9
casual,Hyde Park Blvd & 55th St,10
member,Hyde Park Blvd & 55th St,11
casual,Indiana Ave & 103rd St,67
member,Indiana Ave & 103rd St,17
casual,Indiana Ave & 133rd St,3
casual,Indiana Ave & 26th St,946
member,Indiana Ave & 26th St,1629
casual,Indiana Ave & 31st St,831
member,Indiana Ave & 31st St,2761
casual,Indiana Ave & 40th St,211
member,Indiana Ave & 40th St,211
casual,Indiana Ave & Roosevelt Rd,14643
member,Indiana Ave & Roosevelt Rd,12865
casual,Jefferson St & Monroe St,2764
member,Jefferson St & Monroe St,5522
casual,Jeffery Blvd & 67th St,337
member,Jeffery Blvd & 67th St,125
casual,Jeffery Blvd & 71st St,248
member,Jeffery Blvd & 71st St,80
casual,Jeffery Blvd & 76th St,145
member,Jeffery Blvd & 76th St,43
casual,Jonathan Y Scammon Public School,8
casual,Karlov Ave & Kamerling Ave,4
member,Karlov Ave & Kamerling Ave,3
casual,Karlov Ave & Madison St,94
member,Karlov Ave & Madison St,23
casual,Kedvale Ave & Avondale Ave,6
casual,Kedzie Ave & 104th St,16
member,Kedzie Ave & 104th St,5
casual,Kedzie Ave & 110th St,73
member,Kedzie Ave & 110th St,16
casual,Kedzie Ave & 21st St,235
member,Kedzie Ave & 21st St,74
casual,Kedzie Ave & 24th St,129
member,Kedzie Ave & 24th St,45
casual,Kedzie Ave & 45th St,24
member,Kedzie Ave & 45th St,2
casual,Kedzie Ave & 48th Pl,108
member,Kedzie Ave & 48th Pl,52
casual,Kedzie Ave & 52nd St,38
member,Kedzie Ave & 52nd St,20
casual,Kedzie Ave & 54th St - SE,4
member,Kedzie Ave & 54th St - SE,1
casual,Kedzie Ave & 54th St - SW,1
member,Kedzie Ave & 54th St - SW,3
casual,Kedzie Ave & 57th St,60
member,Kedzie Ave & 57th St,18
casual,Kedzie Ave & 58th St,2
member,Kedzie Ave & 58th St,1
casual,Kedzie Ave & 61st Pl,1
member,Kedzie Ave & 61st Pl,1
casual,Kedzie Ave & 64th St - SE,1
casual,Kedzie Ave & 64th St - SW,3
member,Kedzie Ave & 64th St - SW,1
casual,Kedzie Ave & Archer Ave,1
member,Kedzie Ave & Argyle St,1
casual,Kedzie Ave & Bryn Mawr Ave,450
member,Kedzie Ave & Bryn Mawr Ave,558
casual,Kedzie Ave & Chicago Ave,493
member,Kedzie Ave & Chicago Ave,293
casual,Kedzie Ave & Foster Ave,577
member,Kedzie Ave & Foster Ave,511
casual,Kedzie Ave & George St,59
member,Kedzie Ave & George St,128
casual,Kedzie Ave & Harrison St,110
member,Kedzie Ave & Harrison St,39
casual,Kedzie Ave & Lake St,412
member,Kedzie Ave & Lake St,219
casual,Kedzie Ave & Leland Ave,579
member,Kedzie Ave & Leland Ave,652
casual,Kedzie Ave & Milwaukee Ave,6564
member,Kedzie Ave & Milwaukee Ave,4970
casual,Kedzie Ave & Palmer Ct,1940
member,Kedzie Ave & Palmer Ct,2115
casual,Kedzie Ave & Pershing Rd,1
casual,Kedzie Ave & Roosevelt Rd,313
member,Kedzie Ave & Roosevelt Rd,38
casual,Keeler Ave & 26th St,2
casual,Keeler Ave & Roosevelt Rd,27
member,Keeler Ave & Roosevelt Rd,2
casual,Kenneth Ave & 50th St,31
member,Kenneth Ave & 50th St,7
casual,Kenneth Ave & 63rd St,2
casual,Kenosha & Wellington,59
member,Kenosha & Wellington,19
casual,Kenton Ave & Madison St,62
member,Kenton Ave & Madison St,22
casual,Kenton Ave & Palmer St,2
member,Kenton Ave & Palmer St,32
casual,Keystone Ave & Fullerton Ave,761
member,Keystone Ave & Fullerton Ave,292
casual,Keystone Ave & Irving Park Rd,3
member,Keystone Ave & Irving Park Rd,3
casual,Keystone Ave & Montrose Ave,483
member,Keystone Ave & Montrose Ave,372
casual,Keystone Ave & North Ave,7
member,Keystone Ave & North Ave,7
casual,Kilbourn & Belden,87
member,Kilbourn & Belden,37
casual,Kilbourn & Roscoe,85
member,Kilbourn & Roscoe,75
casual,Kilbourn Ave & Fullerton Ave,2
member,Kilbourn Ave & Fullerton Ave,1
casual,Kilbourn Ave & Irving Park Rd,213
member,Kilbourn Ave & Irving Park Rd,151
casual,Kilbourn Ave & Milwaukee Ave,213
member,Kilbourn Ave & Milwaukee Ave,155
casual,Kildare & Cermak,11
member,Kildare & Cermak,2
casual,Kildare Ave & 26th St,14
member,Kildare Ave & 26th St,3
casual,Kildare Ave & 47th St,13
member,Kildare Ave & 47th St,3
casual,Kildare Ave & 55th St,15
member,Kildare Ave & 55th St,1
casual,Kildare Ave & Chicago Ave,19
member,Kildare Ave & Chicago Ave,4
casual,Kildare Ave & Division St,22
member,Kildare Ave & Division St,10
casual,Kildare Ave & Montrose Ave,309
member,Kildare Ave & Montrose Ave,338
casual,Kildare Ave & Washignton Blvd,1
casual,Kilpatrick Ave & Grand Ave,34
member,Kilpatrick Ave & Grand Ave,14
casual,Kilpatrick Ave & Parker Ave,83
member,Kilpatrick Ave & Parker Ave,63
casual,Kimball Ave & Belmont Ave,910
member,Kimball Ave & Belmont Ave,967
member,Kimball Ave & Carmen Ave,1
casual,Kimbark Ave & 53rd St,4230
member,Kimbark Ave & 53rd St,7569
casual,Kimbark Ave & 63rd St,2
casual,Kimbark Ave & 67th St,2
casual,Kingsbury St & Erie St,5992
member,Kingsbury St & Erie St,13047
casual,Kingsbury St & Kinzie St,8729
member,Kingsbury St & Kinzie St,25057
casual,Knox Ave & Montrose Ave,287
member,Knox Ave & Montrose Ave,239
casual,Kolin Ave & Archer Ave,1
casual,Komensky Ave & 31st St,36
member,Komensky Ave & 31st St,60
casual,Komensky Ave & 55th St,21
member,Komensky Ave & 55th St,3
casual,Komensky Ave & 59th St,3
casual,Kosciuszko Park,1264
member,Kosciuszko Park,783
casual,Kostner Ave & 63rd St,39
member,Kostner Ave & 63rd St,17
casual,Kostner Ave & Adams St,63
member,Kostner Ave & Adams St,53
casual,Kostner Ave & Armitage Ave,9
member,Kostner Ave & Armitage Ave,3
casual,Kostner Ave & Lake St,64
member,Kostner Ave & Lake St,7
casual,Kostner Ave & North Ave,2
member,Kostner Ave & North Ave,2
casual,Kostner Ave & Wrightwood Ave,76
member,Kostner Ave & Wrightwood Ave,31
casual,La Villita Park (Albany/30th),35
member,La Villita Park (Albany/30th),4
casual,Lafayette Ave & 95th St,2
casual,Laflin St & Cullerton St,1205
member,Laflin St & Cullerton St,1314
casual,Lake Park Ave & 35th St,2057
member,Lake Park Ave & 35th St,876
casual,Lake Park Ave & 44th St,1
casual,Lake Park Ave & 47th St,1144
member,Lake Park Ave & 47th St,1229
casual,Lake Park Ave & 53rd St,3120
member,Lake Park Ave & 53rd St,3153
casual,Lake Park Ave & 56th St,2167
member,Lake Park Ave & 56th St,4178
casual,Lake Shore Dr & Belmont Ave,3089
member,Lake Shore Dr & Belmont Ave,2423
casual,Lake Shore Dr & Diversey Pkwy,3052
member,Lake Shore Dr & Diversey Pkwy,2711
casual,Lake Shore Dr & Monroe St,8842
member,Lake Shore Dr & Monroe St,2751
casual,Lake Shore Dr & North Blvd,11961
member,Lake Shore Dr & North Blvd,5949
casual,Lake Shore Dr & Ohio St,3523
member,Lake Shore Dr & Ohio St,2112
casual,Lake Shore Dr & Wellington Ave,2830
member,Lake Shore Dr & Wellington Ave,2642
casual,Lakefront Trail & Bryn Mawr Ave,6952
member,Lakefront Trail & Bryn Mawr Ave,8335
casual,Lakefront Trail & Wilson Ave,4490
member,Lakefront Trail & Wilson Ave,4366
casual,Lakeview Ave & Fullerton Pkwy,11351
member,Lakeview Ave & Fullerton Pkwy,12292
casual,Lamon Ave & Armitage Ave,83
member,Lamon Ave & Armitage Ave,16
casual,Lamon Ave & Belmont Ave,73
member,Lamon Ave & Belmont Ave,90
casual,Lamon Ave & Chicago Ave,41
member,Lamon Ave & Chicago Ave,10
member,Langley Ave & 79th St,1
casual,Laramie Ave & Belmont Ave,2
member,Laramie Ave & Belmont Ave,3
casual,Laramie Ave & Fullerton Ave,5
casual,Laramie Ave & Gladys Ave,60
member,Laramie Ave & Gladys Ave,9
casual,Laramie Ave & Grand Ave,3
casual,Laramie Ave & Kinzie St,90
member,Laramie Ave & Kinzie St,29
casual,Laramie Ave & Madison St,98
member,Laramie Ave & Madison St,54
casual,Larrabee St & Armitage Ave,4088
member,Larrabee St & Armitage Ave,6574
casual,Larrabee St & Division St,4436
member,Larrabee St & Division St,7286
casual,Larrabee St & Kingsbury St,4083
member,Larrabee St & Kingsbury St,12640
casual,Larrabee St & Menomonee St,1983
member,Larrabee St & Menomonee St,4013
casual,Larrabee St & North Ave,3124
member,Larrabee St & North Ave,4374
casual,Larrabee St & Oak St,1997
member,Larrabee St & Oak St,5711
casual,Larrabee St & Webster Ave,11898
member,Larrabee St & Webster Ave,13796
casual,LaSalle Dr & Huron St,6199
member,LaSalle Dr & Huron St,7615
casual,LaSalle St & Adams St,2288
member,LaSalle St & Adams St,3440
casual,LaSalle St & Illinois St,12270
member,LaSalle St & Illinois St,12669
casual,LaSalle St & Jackson Blvd,2799
member,LaSalle St & Jackson Blvd,9861
casual,LaSalle St & Washington St,3186
member,LaSalle St & Washington St,6754
casual,Latrobe Ave & Chicago Ave,129
member,Latrobe Ave & Chicago Ave,26
member,Latrobe Ave & Lake St,1
casual,Lavergne & Fullerton,59
member,Lavergne & Fullerton,51
casual,Lavergne Ave & 46th St,21
member,Lavergne Ave & 46th St,6
casual,Lavergne Ave & Division St,28
member,Lavergne Ave & Division St,2
casual,Lawler Ave & 50th St,45
member,Lawler Ave & 50th St,42
casual,Lawndale Ave & 111th St,166
member,Lawndale Ave & 111th St,16
casual,Lawndale Ave & 16th St,33
member,Lawndale Ave & 16th St,10
casual,Lawndale Ave & 30th St,69
member,Lawndale Ave & 30th St,4
casual,Lawndale Ave & Diversey Ave,5
member,Lawndale Ave & Diversey Ave,14
member,Lawndale Ave & Polk St,1
casual,Leamington Ave & Hirsch St,20
member,Leamington Ave & Hirsch St,1
casual,Leavitt St & Addison St,1178
member,Leavitt St & Addison St,1629
casual,Leavitt St & Archer Ave,352
member,Leavitt St & Archer Ave,325
casual,Leavitt St & Armitage Ave,2408
member,Leavitt St & Armitage Ave,3095
casual,Leavitt St & Belmont Ave,1797
member,Leavitt St & Belmont Ave,2375
casual,Leavitt St & Chicago Ave,2286
member,Leavitt St & Chicago Ave,2682
casual,Leavitt St & Division St,1433
member,Leavitt St & Division St,2610
casual,Leavitt St & Lawrence Ave,909
member,Leavitt St & Lawrence Ave,1678
casual,Leavitt St & North Ave,3008
member,Leavitt St & North Ave,3536
casual,Legler Regional Library,1
casual,Lincoln Ave & Addison St,1506
member,Lincoln Ave & Addison St,1771
casual,Lincoln Ave & Balmoral Ave,57
member,Lincoln Ave & Balmoral Ave,166
casual,Lincoln Ave & Belle Plaine Ave,2101
member,Lincoln Ave & Belle Plaine Ave,3813
casual,Lincoln Ave & Belmont Ave,4033
member,Lincoln Ave & Belmont Ave,7562
casual,Lincoln Ave & Belmont Ave (Temp),6
casual,Lincoln Ave & Diversey Pkwy,6013
member,Lincoln Ave & Diversey Pkwy,10562
casual,Lincoln Ave & Fullerton Ave,9623
member,Lincoln Ave & Fullerton Ave,12556
casual,Lincoln Ave & Peterson Ave,44
member,Lincoln Ave & Peterson Ave,50
casual,Lincoln Ave & Roscoe St,4208
member,Lincoln Ave & Roscoe St,6835
member,Lincoln Ave & Roscoe St - Charging,3
casual,Lincoln Ave & Roscoe St*,429
member,Lincoln Ave & Roscoe St*,637
casual,Lincoln Ave & Sunnyside Ave,1818
member,Lincoln Ave & Sunnyside Ave,3531
casual,Lincoln Ave & Waveland Ave,1757
member,Lincoln Ave & Waveland Ave,3235
casual,Lincoln Ave & Winona St,958
member,Lincoln Ave & Winona St,1419
casual,Lincoln Park Conservatory,8628
member,Lincoln Park Conservatory,5265
casual,Lincolnwood Dr & Central St,288
member,Lincolnwood Dr & Central St,388
member,Linder Ave & Archer Ave,1
member,Linder Ave & Belmont Ave,1
casual,Lockwood Ave & Wrightwood Ave,94
member,Lockwood Ave & Wrightwood Ave,73
casual,Logan Blvd & Elston Ave,3144
member,Logan Blvd & Elston Ave,3142
casual,Long & Irving Park,153
member,Long & Irving Park,95
casual,Long Ave & Belden Ave,46
member,Long Ave & Belden Ave,24
casual,Long Ave & Belmont Ave,61
member,Long Ave & Belmont Ave,57
casual,Long Ave & North Ave,26
member,Long Ave & North Ave,2
casual,Loomis Blvd & 84th St,114
member,Loomis Blvd & 84th St,23
casual,Loomis St & 89th St,118
member,Loomis St & 89th St,5
casual,Loomis St & Archer Ave,532
member,Loomis St & Archer Ave,852
casual,Loomis St & Jackson Blvd,1941
member,Loomis St & Jackson Blvd,4664
casual,Loomis St & Lexington St,2849
member,Loomis St & Lexington St,14631
casual,Lowell Ave & Elston Ave,10
member,Lowell Ave & Elston Ave,3
member,Mackinaw Ave & 108th St,1
casual,Major Ave & Bloomingdale Ave,22
member,Major Ave & Bloomingdale Ave,5
casual,Major Taylor Trail & 115th St,117
member,Major Taylor Trail & 115th St,26
casual,Major Taylor Trail & 124th St,85
member,Major Taylor Trail & 124th St,8
casual,Malcolm X College Vaccination Site,740
member,Malcolm X College Vaccination Site,716
casual,Manor Ave & Leland Ave,533
member,Manor Ave & Leland Ave,1183
casual,Maplewood Ave & 59th St,27
member,Maplewood Ave & 59th St,1
casual,Maplewood Ave & Peterson Ave,420
member,Maplewood Ave & Peterson Ave,279
casual,Marine Dr & Ainslie St,3799
member,Marine Dr & Ainslie St,4187
member,Marquette Ave & 79th St,1
casual,Marquette Ave & 89th St,122
member,Marquette Ave & 89th St,10
casual,Marshfield Ave & 44th St,146
member,Marshfield Ave & 44th St,268
member,Marshfield Ave & 45th St,3
casual,Marshfield Ave & 59th St,43
member,Marshfield Ave & 59th St,25
casual,Maryland Ave & 104th St,37
member,Maryland Ave & 104th St,28
casual,Mason Ave & Belmont Ave,73
member,Mason Ave & Belmont Ave,16
casual,May St & 69th St,87
member,May St & 69th St,47
casual,May St & Cullerton St,1029
member,May St & Cullerton St,1323
casual,May St & Taylor St,2631
member,May St & Taylor St,7721
casual,Mayfield & Roosevelt Rd,4
member,Mayfield & Roosevelt Rd,2
casual,McClurg Ct & Erie St,6449
member,McClurg Ct & Erie St,12762
casual,McClurg Ct & Ohio St,2268
member,McClurg Ct & Ohio St,2816
casual,McCormick Blvd & Devon Ave,2
casual,McCormick Place,3650
member,McCormick Place,1111
member,McVicker Ave & Grand Ave,3
casual,Meade Ave & Addison St,53
member,Meade Ave & Addison St,43
casual,Meade Ave & Diversey Ave,43
member,Meade Ave & Diversey Ave,19
casual,Melvina Ave & Belmont Ave,1
member,Melvina Ave & Belmont Ave,1
member,Menard Ave & Agusta Blvd,1
casual,Menard Ave & Belmont Ave,1
member,Menard Ave & Belmont Ave,1
casual,Menard Ave & Dakin St - midblock,2
casual,Menard Ave & Division St,36
member,Menard Ave & Division St,5
member,Menard Ave & Grand Ave,1
casual,Menard Ave & North Ave,7
member,Menard Ave & North Ave,4
casual,Michigan Ave & 110th St,1
member,Michigan Ave & 110th St,1
member,Michigan Ave & 113th St,1
casual,Michigan Ave & 114th St,42
member,Michigan Ave & 114th St,5
casual,Michigan Ave & 14th St,5305
member,Michigan Ave & 14th St,8213
casual,Michigan Ave & 18th St,3524
member,Michigan Ave & 18th St,6207
casual,Michigan Ave & 71st St,73
member,Michigan Ave & 71st St,10
casual,Michigan Ave & 8th St,12132
member,Michigan Ave & 8th St,5267
casual,Michigan Ave & Ida B Wells Dr,4974
member,Michigan Ave & Ida B Wells Dr,2620
casual,Michigan Ave & Jackson Blvd,7553
member,Michigan Ave & Jackson Blvd,3838
casual,Michigan Ave & Lake St,12764
member,Michigan Ave & Lake St,11575
casual,Michigan Ave & Madison St,5870
member,Michigan Ave & Madison St,5947
casual,Michigan Ave & Oak St,29789
member,Michigan Ave & Oak St,13237
casual,Michigan Ave & Pearson St,7241
member,Michigan Ave & Pearson St,5215
casual,Michigan Ave & Washington St,12449
member,Michigan Ave & Washington St,12182
casual,Midway Orange Line,11
member,Midway Orange Line,4
casual,Mies van der Rohe Way & Chestnut St,7358
member,Mies van der Rohe Way & Chestnut St,9924
casual,Mies van der Rohe Way & Chicago Ave,5868
member,Mies van der Rohe Way & Chicago Ave,10544
casual,Millard Ave & 26th St,294
member,Millard Ave & 26th St,108
casual,Millennium Park,31877
member,Millennium Park,8457
casual,Milwaukee Ave & Addison St,6
member,Milwaukee Ave & Addison St,2
casual,Milwaukee Ave & Cuyler Ave,363
member,Milwaukee Ave & Cuyler Ave,409
casual,Milwaukee Ave & Diversey Ave,24
member,Milwaukee Ave & Diversey Ave,17
casual,Milwaukee Ave & Fullerton Ave,217
member,Milwaukee Ave & Fullerton Ave,269
casual,Milwaukee Ave & Grand Ave,7059
member,Milwaukee Ave & Grand Ave,10974
casual,Milwaukee Ave & Haussen Ct,10
member,Milwaukee Ave & Haussen Ct,2
casual,Milwaukee Ave & Rockwell St,2036
member,Milwaukee Ave & Rockwell St,2536
casual,Milwaukee Ave & School St,4
member,Milwaukee Ave & School St,4
casual,Milwaukee Ave & Wabansia Ave,5014
member,Milwaukee Ave & Wabansia Ave,7610
casual,Milwaukee Ave & Waveland Ave,1
casual,MLK Jr Dr & 29th St,1430
member,MLK Jr Dr & 29th St,5489
casual,MLK Jr Dr & 47th St,512
member,MLK Jr Dr & 47th St,205
casual,MLK Jr Dr & 56th St,210
member,MLK Jr Dr & 56th St,88
casual,MLK Jr Dr & 63rd St,210
member,MLK Jr Dr & 63rd St,192
casual,MLK Jr Dr & 83rd St,69
member,MLK Jr Dr & 83rd St,41
casual,MLK Jr Dr & Pershing Rd,692
member,MLK Jr Dr & Pershing Rd,475
casual,Monticello Ave & Belmont Ave,7
member,Monticello Ave & Belmont Ave,15
casual,Monticello Ave & Chicago Ave,23
member,Monticello Ave & Chicago Ave,10
casual,Monticello Ave & Irving Park Rd,724
member,Monticello Ave & Irving Park Rd,580
casual,Montrose Harbor,10959
member,Montrose Harbor,7451
casual,Morgan Ave & 14th Pl,1123
member,Morgan Ave & 14th Pl,3746
member,Morgan St & 103rd St,2
casual,Morgan St & 18th St,2153
member,Morgan St & 18th St,3204
casual,Morgan St & 31st St,1185
member,Morgan St & 31st St,2463
casual,Morgan St & 87th St,1
casual,Morgan St & Lake St,9191
member,Morgan St & Lake St,11946
casual,Morgan St & Lake St*,722
member,Morgan St & Lake St*,934
casual,Morgan St & Pershing Rd,91
member,Morgan St & Pershing Rd,215
casual,Morgan St & Polk St,1872
member,Morgan St & Polk St,9648
casual,Mozart Elementary School,28
member,Mozart Elementary School,12
casual,Mozart St & Jackson Blvd,2
member,Mozart St & Jackson Blvd,14
casual,MTV Hubbard St,1
member,MTV Hubbard St,13
casual,Mulligan Ave & Wellington Ave,85
member,Mulligan Ave & Wellington Ave,77
casual,Museum of Science and Industry,3256
member,Museum of Science and Industry,1652
casual,N Carpenter St & W Lake St,175
member,N Carpenter St & W Lake St,420
casual,N Clark St & W Elm St,33
member,N Clark St & W Elm St,43
casual,N Damen Ave & W Chicago Ave,24
member,N Damen Ave & W Chicago Ave,19
casual,N Green St & W Lake St,1222
member,N Green St & W Lake St,1384
casual,N Narragansett Ave & Grand Ave,2
member,N Narragansett Ave & Grand Ave,1
casual,N Paulina St & Lincoln Ave,84
member,N Paulina St & Lincoln Ave,112
casual,N Sheffield Ave & W Wellington Ave,407
member,N Sheffield Ave & W Wellington Ave,346
casual,N Shore Channel Trail & Argyle Ave,6
member,N Shore Channel Trail & Argyle Ave,1
casual,N Shore Channel Trail & Argyle St,68
member,N Shore Channel Trail & Argyle St,54
casual,N Southport Ave & W Newport Ave,243
member,N Southport Ave & W Newport Ave,201
casual,Narragansett & Irving Park,76
member,Narragansett & Irving Park,57
casual,Narragansett & McLean,20
member,Narragansett & McLean,6
casual,Narragansett & Wrightwood,157
member,Narragansett & Wrightwood,47
casual,Narragansett Ave & Fullerton Ave,2
member,Narragansett Ave & Fullerton Ave,5
casual,Narragansett Ave & School St,51
member,Narragansett Ave & School St,20
casual,Neva Ave & Grand Ave,2
member,Neva Ave & Grand Ave,3
casual,New St & Illinois St,13209
member,New St & Illinois St,12728
casual,Newcastle Ave & Belden Ave,6
member,Newcastle Ave & Belden Ave,6
casual,Newcastle Ave & Wellington Ave,1
casual,Noble St & Milwaukee Ave,3271
member,Noble St & Milwaukee Ave,5779
casual,Nordica & Medill,45
member,Nordica & Medill,27
casual,Normal Ave & Archer Ave,352
member,Normal Ave & Archer Ave,760
casual,North Ave & New England Ave,23
member,North Ave & New England Ave,23
casual,Oak Park & Wellington,90
member,Oak Park & Wellington,33
casual,Oakley Ave & Irving Park Rd,1011
member,Oakley Ave & Irving Park Rd,1595
casual,Oakley Ave & Touhy Ave,290
member,Oakley Ave & Touhy Ave,348
casual,Ogden Ave & Chicago Ave,4607
member,Ogden Ave & Chicago Ave,6861
casual,Ogden Ave & Congress Pkwy,632
member,Ogden Ave & Congress Pkwy,2074
casual,Ogden Ave & Race Ave,3761
member,Ogden Ave & Race Ave,7193
casual,Ogden Ave & Roosevelt Rd,614
member,Ogden Ave & Roosevelt Rd,736
casual,Oglesby Ave & 100th St,75
member,Oglesby Ave & 100th St,14
member,Oglesby Ave & 95th St,4
casual,Oketo Ave & Addison St,50
member,Oketo Ave & Addison St,6
casual,Olive Harvey College,5
member,Olive Harvey College,14
casual,Orange & Addison,76
member,Orange & Addison,30
casual,Orleans St & Chestnut St (NEXT Apts),4223
member,Orleans St & Chestnut St (NEXT Apts),6149
casual,Orleans St & Elm St,1984
member,Orleans St & Elm St,3064
casual,Orleans St & Hubbard St,3066
member,Orleans St & Hubbard St,6790
casual,Orleans St & Merchandise Mart Plaza,5511
member,Orleans St & Merchandise Mart Plaza,12242
casual,Panama Ave & Grace St,19
member,Panama Ave & Grace St,1
casual,Parkside Ave & Armitage Ave,7
casual,Paulina Ave & North Ave,3995
member,Paulina Ave & North Ave,5318
casual,Paulina St & 18th St,1937
member,Paulina St & 18th St,2413
casual,Paulina St & Flournoy St,1525
member,Paulina St & Flournoy St,8135
casual,Paulina St & Howard St,581
member,Paulina St & Howard St,1624
casual,Paulina St & Montrose Ave,1170
member,Paulina St & Montrose Ave,2099
casual,Pawel Bialowas - Test- PBSC charging station,1
casual,Peoria St & Jackson Blvd,5327
member,Peoria St & Jackson Blvd,10596
member,Perry Ave & 108th Pl,2
casual,Perry Ave & 69th St,101
member,Perry Ave & 69th St,22
casual,Phillips Ave & 79th St,214
member,Phillips Ave & 79th St,46
casual,Phillips Ave & 83rd St,59
member,Phillips Ave & 83rd St,15
casual,Pine Grove Ave & Irving Park Rd,6024
member,Pine Grove Ave & Irving Park Rd,8039
casual,Pine Grove Ave & Waveland Ave,7680
member,Pine Grove Ave & Waveland Ave,11644
casual,Ping Tom Park (East),21
member,Ping Tom Park (East),36
casual,Plainfield & Irving Park,66
member,Plainfield & Irving Park,2
casual,Prairie Ave & 43rd St,544
member,Prairie Ave & 43rd St,228
casual,Prairie Ave & 47th St - midblock,3
member,Prairie Ave & 47th St - midblock,3
casual,Prairie Ave & Garfield Blvd,575
member,Prairie Ave & Garfield Blvd,492
casual,Princeton Ave & 47th St,244
member,Princeton Ave & 47th St,150
casual,Princeton Ave & Garfield Blvd,166
member,Princeton Ave & Garfield Blvd,105
casual,Prospect Sq & 91st St,187
member,Prospect Sq & 91st St,41
casual,Pulaski & 52nd,6
casual,Pulaski & Ann Lurie Pl,11
member,Pulaski & Ann Lurie Pl,11
casual,Pulaski Rd & 21st St,57
member,Pulaski Rd & 21st St,49
casual,Pulaski Rd & 41st,2
casual,Pulaski Rd & 44th St,6
member,Pulaski Rd & 44th St,10
casual,Pulaski Rd & 51st St,77
member,Pulaski Rd & 51st St,60
casual,Pulaski Rd & 60th St,11
member,Pulaski Rd & 60th St,6
casual,Pulaski Rd & Armitage Ave,10
member,Pulaski Rd & Armitage Ave,3
casual,Pulaski Rd & Congress Pkwy,118
member,Pulaski Rd & Congress Pkwy,28
casual,Pulaski Rd & Eddy St (Temp),304
member,Pulaski Rd & Eddy St (Temp),165
casual,Pulaski Rd & Fullerton Ave,14
member,Pulaski Rd & Fullerton Ave,10
casual,Pulaski Rd & Lake St,156
member,Pulaski Rd & Lake St,80
casual,Pullman - Planet Fitness,1
member,Pullman - Walmart,2
casual,Racine Ave & 109th Pl,2
member,Racine Ave & 109th Pl,1
casual,Racine Ave & 13th St,674
member,Racine Ave & 13th St,539
casual,Racine Ave & 15th St,1246
member,Racine Ave & 15th St,1778
casual,Racine Ave & 18th St,2859
member,Racine Ave & 18th St,4194
casual,Racine Ave & 35th St,494
member,Racine Ave & 35th St,639
casual,Racine Ave & 61st St,34
member,Racine Ave & 61st St,30
casual,Racine Ave & 65th St,36
